2018-07-10 23:13:17,469:qtcode.testview:DEBUG:testview is initialized
2018-07-10 23:13:17,515:qtcode.exampleview:DEBUG:exampleview created
2018-07-10 23:14:04,284:consoleview:INFO:(546, 526)
2018-07-10 23:14:17,798:consoleview:INFO:(469, 465)
2018-07-10 23:14:17,902:consoleview:INFO:(469, 465)
2018-07-10 23:14:18,004:consoleview:INFO:(469, 465)
2018-07-10 23:14:18,111:consoleview:INFO:(465, 464)
2018-07-10 23:14:18,219:consoleview:INFO:(451, 451)
2018-07-10 23:14:18,323:consoleview:INFO:(451, 451)
2018-07-10 23:14:18,431:consoleview:INFO:(451, 451)
2018-07-10 23:14:18,540:consoleview:INFO:(451, 451)
2018-07-10 23:14:18,642:consoleview:INFO:(381, 448)
2018-07-10 23:14:18,749:consoleview:INFO:(257, 545)
2018-07-10 23:14:18,853:consoleview:INFO:(292, 642)
2018-07-10 23:14:18,958:consoleview:INFO:(399, 615)
2018-07-10 23:14:19,063:consoleview:INFO:(348, 248)
2018-07-10 23:14:19,167:consoleview:INFO:(332, 263)
2018-07-10 23:14:19,276:consoleview:INFO:(552, 613)
2018-07-10 23:14:19,385:consoleview:INFO:(629, 619)
2018-07-10 23:14:19,492:consoleview:INFO:(600, 613)
2018-07-10 23:14:19,602:consoleview:INFO:(509, 735)
2018-07-10 23:14:19,709:consoleview:INFO:(617, 863)
2018-07-10 23:14:19,818:consoleview:INFO:(622, 863)
2018-07-10 23:14:19,926:consoleview:INFO:(622, 863)
2018-07-10 23:14:20,030:consoleview:INFO:(629, 928)
2018-07-10 23:14:20,137:consoleview:INFO:(672, 948)
2018-07-10 23:14:20,245:consoleview:INFO:(713, 960)
2018-07-10 23:14:20,352:consoleview:INFO:(923, 998)
2018-07-10 23:14:20,462:consoleview:INFO:(1091, 998)
2018-07-10 23:14:20,567:consoleview:INFO:(1102, 998)
2018-07-10 23:14:20,675:consoleview:INFO:(765, 895)
2018-07-10 23:14:20,783:consoleview:INFO:(433, 723)
2018-07-10 23:14:20,892:consoleview:INFO:(450, 612)
2018-07-10 23:14:21,002:consoleview:INFO:(450, 612)
2018-07-10 23:14:21,106:consoleview:INFO:(450, 568)
2018-07-10 23:14:21,213:consoleview:INFO:(481, 513)
2018-07-10 23:14:21,321:consoleview:INFO:(481, 513)
2018-07-10 23:14:21,429:consoleview:INFO:(480, 535)
2018-07-10 23:14:21,536:consoleview:INFO:(480, 535)
2018-07-10 23:14:21,668:consoleview:INFO:(480, 535)
2018-07-10 23:14:21,772:consoleview:INFO:(480, 535)
2018-07-10 23:14:21,874:consoleview:INFO:(480, 535)
2018-07-10 23:14:21,983:consoleview:INFO:(480, 535)
2018-07-10 23:14:22,090:consoleview:INFO:(480, 535)
